GenreCorrected,Count
,176
 ,4
 action,1
6 mm ,1
[],2
action,1152
action|,9
action|7,2
action|adventure,34
action|adventure|,5
action|adventure|animation|family,1
action|adventure|comedy,3
action|adventure|comedy|crime|drama,1
action|adventure|comedy|drama|science_fiction|musical|fantasy,1
action|adventure|crime,1
action|adventure|crime|science_fiction,1
action|adventure|drama,1
action|adventure|drama|fantasy,1
action|adventure|drama|musical|family,1
action|adventure|drama|romance|family,1
action|adventure|drama|superhero,1
action|adventure|family,2
action|adventure|family|romance,1
action|adventure|fantasy,9
action|adventure|fantasy|comedy,1
action|adventure|fantasy|family,1
action|adventure|fantasy|horror,1
action|adventure|fantasy|science_fiction,2
action|adventure|horror,1
action|adventure|horror|science_fiction,1
action|adventure|romance,1
action|adventure|science_fantasy,1
action|adventure|science_fiction,3
action|adventure|superhero,2
action|adventure|superhero|comedy|science_fiction,1
action|adventure|superhero|drama,1
action|adventure|suspense,1
action|adventure|thriller,2
action|adventure|western,1
action|animation|adventure,1
action|biography,3
action|biography|drama,1
action|biography|history|war|costume,1
action|comedy,135
action|comedy|crime,2
action|comedy|crime|drama,5
action|comedy|crime|drama|romance,1
action|comedy|crime|romance,1
action|comedy|drama,8
action|comedy|drama|crime,1
action|comedy|drama|musical|romance,1
action|comedy|drama|romance,1
action|comedy|family,3
action|comedy|fantasy,2
action|comedy|horror,1
action|comedy|parody,1
action|comedy|romance,8
action|comedy|romance|musical,1
action|comedy|superhero,2
action|comedy|thriller,1
action|costume,4
action|crime,32
action|crimewestern,1
action|crime|adventure,2
action|crime|comedy,3
action|crime|drama,35
action|crime|drama|adventure,1
action|crime|drama|family,2
action|crime|drama|family|romance,1
action|crime|drama|horror,1
action|crime|drama|romance,11
action|crime|drama|thriller,4
action|crime|horror,1
action|crime|musical,1
action|crime|romance,3
action|crime|romance|thriller,1
action|crime|thriller,7
action|crime|thriller|drama,1
action|drama,121
action|drama|adventure,2
action|drama|adventure|crime,1
action|drama|biography,1
action|drama|biography|thriller,1
action|drama|crime,2
action|drama|family,7
action|drama|family|comedy,1
action|drama|family|crime|adventure,1
action|drama|family|musical|romance,1
action|drama|family|romance,1
action|drama|fantasy,2
action|drama|fantasy|romance,1
action|drama|history,1
action|drama|horror,1
action|drama|horror|thriller,1
action|drama|mials,1
action|drama|musical|romance,1
action|drama|mystery|romance|thriller,1
action|drama|romance,4
action|drama|romance|crime,1
action|drama|romance|thriller,1
action|drama|science_fiction,2
action|drama|superhero,1
action|drama|thriller,2
action|drama|war,3
action|family,7
action|family|drama|comedy,1
action|family|musical,1
action|fantasy,13
action|fantasy|,1
action|fantasy|adventure|comedy,1
action|fantasy|adventure|horror|science_fiction|western,1
action|fantasy|costume,1
action|fantasy|mystery|mials,1
action|fantasy|romance|musical,1
action|fantasy|science_fiction,1
action|fantay|romance,1
action|history,2
action|history|war|costume,1
action|horror,12
action|horror|animation,1
action|horror|comedy,2
action|horror|science_fiction,2
action|horror|suspense,1
action|horror|thriller,1
action|masala,23
action|musical,1
action|musical|drama|comedy,1
action|mystery,2
action|mystery|comedy,1
action|mystery|crime,1
action|mystery|crime|costume,1
action|period,1
action|road_movie_movie,1
action|romance,81
action|romance|comedy,5
action|romance|comedy|drama,1
action|romance|costume,1
action|romance|drama,4
action|romance|fantasy,1
action|romance|period,1
action|romance|thriller,1
action|romance|thriller|crime,1
action|science_fiction,36
action|science_fiction|adventure,1
action|science_fiction|comedy|spy|,1
action|science_fiction|mecha,1
action|science_fiction|mecha|spy,1
action|science_fiction|thriller,2
action|sport|romance,1
action|spy,4
action|superhero,3
action|suspense,2
action|suspense|crime,1
action|thriller,148
action|thriller|adventure|drama,1
action|thriller|comedy,1
action|thriller|drama|mystery|crime,1
action|thriller|fantasy,1
